Intent,User_Input,Bot_Response
grammar,did i make a mistake here: 'we was at home'?,almost perfect! but native speakers usually say: '[corrected version]'.
roleplay,let's do a coffee shop ordering roleplay.,great! let's start the coffee shop ordering scenario. you go first.
pronunciation,what is the correct pronunciation of 'literature'?,"to say 'literature', break it down into syllables. listen to this and repeat."
pronunciation,what is the correct pronunciation of 'knowledge'?,the stress in 'knowledge' falls on the first syllable. try again!
grammar,did i make a mistake here: 'she don't like apple'?,"good try! however, the correct tense to use here is..."
greeting,hey there,hello! ready to practice english?
roleplay,let's do a hotel check-in roleplay.,awesome! let's practice hotel check-in. what would you say in this situation?
greeting,hi bot,hi there! how can i help your speaking skills today?
pronunciation,what is the correct pronunciation of 'knowledge'?,"to say 'knowledge', break it down into syllables. listen to this and repeat."
greeting,hey there,greetings! let's improve your english.
grammar,did i make a mistake here: 'i have 20 years old'?,you have a small mistake. it should be: '[corrected version]'.
pronunciation,help me pronounce 'knowledge'.,the stress in 'knowledge' falls on the first syllable. try again!
pronunciation,help me pronounce 'comfortable'.,focus on the vowel sound in 'comfortable'. try saying it slowly.
pronunciation,how do i pronounce 'literature'?,focus on the vowel sound in 'literature'. try saying it slowly.
pronunciation,help me pronounce 'knowledge'.,"to say 'knowledge', break it down into syllables. listen to this and repeat."
grammar,check this sentence for me: 'we was at home',"good try! however, the correct tense to use here is..."
pronunciation,how do i pronounce 'thorough'?,"to say 'thorough', break it down into syllables. listen to this and repeat."
roleplay,i want to practice hotel check-in.,"sure thing. imagine we are doing a hotel check-in. i will start: 'hello, how can i help you?'"
grammar,did i make a mistake here: 'i have 20 years old'?,"good try! however, the correct tense to use here is..."
grammar,did i make a mistake here: 'we was at home'?,you have a small mistake. it should be: '[corrected version]'.
pronunciation,what is the correct pronunciation of 'entrepreneur'?,the stress in 'entrepreneur' falls on the first syllable. try again!
pronunciation,i can't say 'schedule' correctly.,"to say 'schedule', break it down into syllables. listen to this and repeat."
grammar,is this correct: 'she don't like apple'?,"good try! however, the correct tense to use here is..."
pronunciation,i can't say 'literature' correctly.,focus on the vowel sound in 'literature'. try saying it slowly.
grammar,please fix my grammar: 'i have 20 years old',"good try! however, the correct tense to use here is..."
grammar,is this correct: 'i go to school yesterday'?,you have a small mistake. it should be: '[corrected version]'.
grammar,please fix my grammar: 'she don't like apple',"good try! however, the correct tense to use here is..."
grammar,did i make a mistake here: 'he playing soccer now'?,you have a small mistake. it should be: '[corrected version]'.
pronunciation,what is the correct pronunciation of 'thorough'?,"to say 'thorough', break it down into syllables. listen to this and repeat."
pronunciation,what is the correct pronunciation of 'thorough'?,focus on the vowel sound in 'thorough'. try saying it slowly.
roleplay,i want to practice hotel check-in.,awesome! let's practice hotel check-in. what would you say in this situation?
pronunciation,how do i pronounce 'comfortable'?,the stress in 'comfortable' falls on the first syllable. try again!
pronunciation,how do i pronounce 'specifically'?,the stress in 'specifically' falls on the first syllable. try again!
pronunciation,how do i pronounce 'schedule'?,"to say 'schedule', break it down into syllables. listen to this and repeat."
pronunciation,how do i pronounce 'knowledge'?,focus on the vowel sound in 'knowledge'. try saying it slowly.
grammar,did i make a mistake here: 'i have 20 years old'?,almost perfect! but native speakers usually say: '[corrected version]'.
pronunciation,help me pronounce 'specifically'.,focus on the vowel sound in 'specifically'. try saying it slowly.
roleplay,let's do a coffee shop ordering roleplay.,"sure thing. imagine we are doing a coffee shop ordering. i will start: 'hello, how can i help you?'"
pronunciation,i can't say 'thorough' correctly.,focus on the vowel sound in 'thorough'. try saying it slowly.
grammar,is this correct: 'i have 20 years old'?,"good try! however, the correct tense to use here is..."
pronunciation,what is the correct pronunciation of 'literature'?,the stress in 'literature' falls on the first syllable. try again!
grammar,is this correct: 'i go to school yesterday'?,"good try! however, the correct tense to use here is..."
grammar,is this correct: 'we was at home'?,almost perfect! but native speakers usually say: '[corrected version]'.
grammar,check this sentence for me: 'i go to school yesterday',you have a small mistake. it should be: '[corrected version]'.
pronunciation,what is the correct pronunciation of 'specifically'?,focus on the vowel sound in 'specifically'. try saying it slowly.
pronunciation,what is the correct pronunciation of 'schedule'?,focus on the vowel sound in 'schedule'. try saying it slowly.
grammar,did i make a mistake here: 'i go to school yesterday'?,you have a small mistake. it should be: '[corrected version]'.
roleplay,can we simulate a coffee shop ordering situation?,"sure thing. imagine we are doing a coffee shop ordering. i will start: 'hello, how can i help you?'"
grammar,did i make a mistake here: 'she don't like apple'?,almost perfect! but native speakers usually say: '[corrected version]'.
roleplay,i want to practice coffee shop ordering.,awesome! let's practice coffee shop ordering. what would you say in this situation?
grammar,is this correct: 'i have 20 years old'?,you have a small mistake. it should be: '[corrected version]'.
pronunciation,how do i pronounce 'thorough'?,the stress in 'thorough' falls on the first syllable. try again!
pronunciation,help me pronounce 'thorough'.,focus on the vowel sound in 'thorough'. try saying it slowly.
grammar,check this sentence for me: 'i go to school yesterday',almost perfect! but native speakers usually say: '[corrected version]'.
pronunciation,help me pronounce 'specifically'.,the stress in 'specifically' falls on the first syllable. try again!
roleplay,let's do a job interview roleplay.,awesome! let's practice job interview. what would you say in this situation?
pronunciation,help me pronounce 'vegetable'.,"to say 'vegetable', break it down into syllables. listen to this and repeat."
pronunciation,what is the correct pronunciation of 'knowledge'?,focus on the vowel sound in 'knowledge'. try saying it slowly.
grammar,please fix my grammar: 'we was at home',"good try! however, the correct tense to use here is..."
grammar,please fix my grammar: 'she don't like apple',almost perfect! but native speakers usually say: '[corrected version]'.
pronunciation,help me pronounce 'comfortable'.,"to say 'comfortable', break it down into syllables. listen to this and repeat."
grammar,check this sentence for me: 'i have 20 years old',you have a small mistake. it should be: '[corrected version]'.
pronunciation,what is the correct pronunciation of 'comfortable'?,the stress in 'comfortable' falls on the first syllable. try again!
pronunciation,how do i pronounce 'knowledge'?,the stress in 'knowledge' falls on the first syllable. try again!
pronunciation,i can't say 'schedule' correctly.,the stress in 'schedule' falls on the first syllable. try again!
pronunciation,i can't say 'comfortable' correctly.,focus on the vowel sound in 'comfortable'. try saying it slowly.
pronunciation,how do i pronounce 'entrepreneur'?,focus on the vowel sound in 'entrepreneur'. try saying it slowly.
grammar,did i make a mistake here: 'we was at home'?,"good try! however, the correct tense to use here is..."
pronunciation,i can't say 'thorough' correctly.,the stress in 'thorough' falls on the first syllable. try again!
pronunciation,what is the correct pronunciation of 'vegetable'?,"to say 'vegetable', break it down into syllables. listen to this and repeat."
grammar,check this sentence for me: 'she don't like apple',"good try! however, the correct tense to use here is..."
grammar,did i make a mistake here: 'i go to school yesterday'?,almost perfect! but native speakers usually say: '[corrected version]'.
pronunciation,i can't say 'literature' correctly.,"to say 'literature', break it down into syllables. listen to this and repeat."
pronunciation,what is the correct pronunciation of 'schedule'?,"to say 'schedule', break it down into syllables. listen to this and repeat."
pronunciation,how do i pronounce 'comfortable'?,focus on the vowel sound in 'comfortable'. try saying it slowly.
pronunciation,what is the correct pronunciation of 'comfortable'?,"to say 'comfortable', break it down into syllables. listen to this and repeat."
grammar,check this sentence for me: 'i have 20 years old',"good try! however, the correct tense to use here is..."
pronunciation,what is the correct pronunciation of 'specifically'?,"to say 'specifically', break it down into syllables. listen to this and repeat."
grammar,is this correct: 'he playing soccer now'?,"good try! however, the correct tense to use here is..."
pronunciation,i can't say 'knowledge' correctly.,"to say 'knowledge', break it down into syllables. listen to this and repeat."
pronunciation,how do i pronounce 'specifically'?,focus on the vowel sound in 'specifically'. try saying it slowly.
pronunciation,i can't say 'comfortable' correctly.,the stress in 'comfortable' falls on the first syllable. try again!
grammar,is this correct: 'we was at home'?,"good try! however, the correct tense to use here is..."
pronunciation,help me pronounce 'knowledge'.,focus on the vowel sound in 'knowledge'. try saying it slowly.
grammar,is this correct: 'she don't like apple'?,almost perfect! but native speakers usually say: '[corrected version]'.
pronunciation,what is the correct pronunciation of 'vegetable'?,the stress in 'vegetable' falls on the first syllable. try again!
pronunciation,i can't say 'specifically' correctly.,"to say 'specifically', break it down into syllables. listen to this and repeat."
pronunciation,i can't say 'specifically' correctly.,focus on the vowel sound in 'specifically'. try saying it slowly.
grammar,check this sentence for me: 'we was at home',almost perfect! but native speakers usually say: '[corrected version]'.
pronunciation,how do i pronounce 'vegetable'?,the stress in 'vegetable' falls on the first syllable. try again!
pronunciation,what is the correct pronunciation of 'entrepreneur'?,"to say 'entrepreneur', break it down into syllables. listen to this and repeat."
pronunciation,what is the correct pronunciation of 'thorough'?,the stress in 'thorough' falls on the first syllable. try again!
pronunciation,i can't say 'comfortable' correctly.,"to say 'comfortable', break it down into syllables. listen to this and repeat."
pronunciation,help me pronounce 'thorough'.,"to say 'thorough', break it down into syllables. listen to this and repeat."
pronunciation,how do i pronounce 'literature'?,"to say 'literature', break it down into syllables. listen to this and repeat."
pronunciation,how do i pronounce 'knowledge'?,"to say 'knowledge', break it down into syllables. listen to this and repeat."
pronunciation,what is the correct pronunciation of 'comfortable'?,focus on the vowel sound in 'comfortable'. try saying it slowly.
grammar,please fix my grammar: 'we was at home',you have a small mistake. it should be: '[corrected version]'.
pronunciation,how do i pronounce 'vegetable'?,"to say 'vegetable', break it down into syllables. listen to this and repeat."
pronunciation,how do i pronounce 'comfortable'?,"to say 'comfortable', break it down into syllables. listen to this and repeat."
pronunciation,how do i pronounce 'literature'?,the stress in 'literature' falls on the first syllable. try again!
